Precinct,WESLEY HUNT,VIRGIL JOHN BIERSCHWALE,JOHN O. ADEFOPE,JOHN CORNYN,ANNA BENDER,SARA CANADY,"GULREZ ""GUS"" KHAN",KEN PAXTON,Cast Votes,Undervotes,Overvotes,Mail Ballots,Early Voting,Election Day,EV Provisional,ED Provisional,Total Ballots Cast,Registered Voters,Turnout %
1,17,0,0,40,0,1,1,39,98,2,0,0,50,49,1,0,100,0,0
2,30,0,1,68,0,3,3,53,158,0,0,1,77,80,0,0,158,0,0
3,43,1,1,115,4,2,0,71,237,7,0,2,125,116,0,1,244,0,0
4,22,0,0,74,3,2,0,42,143,0,0,2,65,76,0,0,143,0,0
5,35,0,0,78,0,1,0,36,150,0,0,4,73,73,0,0,150,0,0
6,43,1,2,101,5,4,4,127,287,1,0,14,187,87,0,0,288,0,0
7,0,0,0,1,0,0,0,6,7,0,0,0,3,4,0,0,7,0,0
8,31,0,0,73,4,1,0,66,175,0,0,2,117,56,0,0,175,0,0
9,23,1,0,30,2,2,0,24,82,1,0,1,44,38,0,0,83,0,0
10,12,0,2,23,0,2,2,23,64,2,0,0,35,31,0,0,66,0,0
11,5,1,0,8,3,2,0,22,41,0,0,0,29,12,0,0,41,0,0
12,6,0,0,13,1,2,1,12,35,0,0,1,21,13,0,0,35,0,0
13,60,0,0,128,3,2,2,162,357,6,0,7,251,105,0,0,363,0,0
14,50,0,0,111,1,3,4,69,238,2,0,6,115,119,0,0,240,0,0
15,73,5,0,229,2,0,2,82,393,3,1,20,143,232,2,0,397,0,0
16,28,0,0,56,3,2,0,62,151,3,0,2,97,55,0,0,154,0,0
17,12,1,1,35,3,0,1,40,93,0,0,7,52,33,0,1,93,0,0
18,45,0,1,61,3,1,1,55,167,1,0,9,85,74,0,0,168,0,0
19,4,0,0,13,0,0,0,12,29,0,0,0,11,18,0,0,29,0,0
20,16,1,1,23,0,0,1,21,63,0,0,0,42,21,0,0,63,0,0
21,12,0,0,14,0,0,0,5,31,2,0,2,19,12,0,0,33,0,0
22,10,0,0,24,1,4,0,13,52,0,0,5,35,11,1,0,52,0,0
23,1,0,0,3,0,0,0,3,7,0,0,0,2,5,0,0,7,0,0
24,8,0,0,9,0,0,1,4,22,0,0,0,14,8,0,0,22,0,0
25,1,1,0,2,1,0,0,4,9,1,0,0,6,4,0,0,10,0,0
26,15,0,0,19,2,3,1,27,67,1,0,0,38,30,0,0,68,0,0
27,17,0,1,35,3,3,2,35,96,1,0,4,41,52,0,0,97,0,0
28,52,1,3,153,6,1,2,139,357,3,1,26,212,123,0,0,361,0,0
29,14,0,0,28,3,4,0,21,70,3,0,6,36,31,0,0,73,0,0
30,25,0,0,40,2,0,0,33,100,0,0,1,57,42,0,0,100,0,0
31,2,0,0,3,0,1,0,6,12,1,0,0,6,7,0,0,13,0,0
32,26,0,1,40,0,0,1,16,84,1,0,2,52,29,2,0,85,0,0
33,27,1,0,56,2,0,1,41,128,0,0,0,74,54,0,0,128,0,0
34,26,1,0,56,1,2,0,33,119,1,0,3,68,49,0,0,120,0,0
35,4,0,0,7,0,0,0,7,18,0,0,1,8,9,0,0,18,0,0
36,22,4,2,36,5,2,3,26,100,3,0,0,66,37,0,0,103,0,0
