GEOID_TRACT_20,NAMELSAD_TRACT_20,GEOID_TRACT_10,NAMELSAD_TRACT_10,AREALAND_PART,AREALAND_TRACT_20,AREALAND_TRACT_10,weight_2010_to_2020,weight_2020_to_2010
48201100001,Census Tract 1000.01,48201100000,Census Tract 1000,2550360,2550360,3805964,0.6700956708996721,1.0
48201210400,Census Tract 2104,48201210400,Census Tract 2104,1811955,1811955,1814311,0.9987014354209394,1.0
48201210500,Census Tract 2105,48201210400,Census Tract 2104,2356,2154322,1814311,0.001298564579060591,0.0010936155319399793
48201210500,Census Tract 2105,48201210500,Census Tract 2105,2151966,2154322,2151966,1.0,0.99890638446806
48201210600,Census Tract 2106,48201210600,Census Tract 2106,2333778,2333778,2333778,1.0,1.0
48201210700,Census Tract 2107,48201210700,Census Tract 2107,1133524,1133524,1133524,1.0,1.0
48201210800,Census Tract 2108,48201210800,Census Tract 2108,3666258,3666258,3666258,1.0,1.0
48201210900,Census Tract 2109,48201210900,Census Tract 2109,1260606,1260606,1260606,1.0,1.0
48201211000,Census Tract 2110,48201211000,Census Tract 2110,1119665,1119665,1119665,1.0,1.0
48201211101,Census Tract 2111.01,48201211100,Census Tract 2111,1279624,1279624,2397415,0.5337515615777827,1.0
48201211102,Census Tract 2111.02,48201211100,Census Tract 2111,1117791,1117791,2397415,0.46624843842221725,1.0
48201211200,Census Tract 2112,48201211200,Census Tract 2112,1702869,1702869,1702869,1.0,1.0
48201211301,Census Tract 2113.01,48201211300,Census Tract 2113,1150911,1150911,2749075,0.41865391086092596,1.0
48201211302,Census Tract 2113.02,48201211300,Census Tract 2113,1584213,1584213,2749075,0.5762712912525122,1.0
48201211400,Census Tract 2114,48201211400,Census Tract 2114,3607142,3607142,3618267,0.9969253236425062,1.0
48201211501,Census Tract 2115.01,48201211500,Census Tract 2115,3675323,3675323,6051065,0.6073844852104547,1.0
48201211502,Census Tract 2115.02,48201211400,Census Tract 2114,11125,2386867,3618267,0.0030746763574937947,0.004660921618171435
48201211502,Census Tract 2115.02,48201211500,Census Tract 2115,2375742,2386867,6051065,0.3926155147895453,0.9953390783818286
48201211600,Census Tract 2116,48201211300,Census Tract 2113,13951,1178453,2749075,0.005074797886561844,0.01183840170121337
48201211600,Census Tract 2116,48201211600,Census Tract 2116,1164502,1178453,1164502,1.0,0.9881615982987866
48201211700,Census Tract 2117,48201211700,Census Tract 2117,4442125,4442125,4442125,1.0,1.0
48201211900,Census Tract 2119,48201211900,Census Tract 2119,1247524,1247524,1247524,1.0,1.0
48201212300,Census Tract 2123,48201212300,Census Tract 2123,3214633,3269457,3214633,1.0,0.9832314662648874
48201212300,Census Tract 2123,48201510100,Census Tract 5101,33195,3269457,1488611,0.022299311237119705,0.010153062113984064
48201212300,Census Tract 2123,48201510300,Census Tract 5103,21629,3269457,2378616,0.00909310287999408,0.006615471621128524
48201212400,Census Tract 2124,48201212400,Census Tract 2124,8124430,8124430,8124430,1.0,1.0
48201212500,Census Tract 2125,48201212500,Census Tract 2125,10778567,10778567,10778567,1.0,1.0
