precinct,count_precinct
1.0,1630.0
2.0,4252.0
3.0,3374.0
4.0,1943.0
5.0,1748.0
6.0,4919.0
7.0,912.0
8.0,1696.0
9.0,2679.0
10.0,2006.0
11.0,1987.0
12.0,860.0
13.0,3080.0
14.0,1993.0
15.0,3160.0
16.0,3375.0
17.0,1259.0
18.0,1514.0
19.0,1352.0
20.0,3116.0
21.0,1450.0
22.0,2623.0
23.0,560.0
24.0,1650.0
25.0,977.0
26.0,2201.0
27.0,3701.0
28.0,4280.0
29.0,2959.0
30.0,3245.0
31.0,2799.0
32.0,3712.0
33.0,4956.0
34.0,3243.0
35.0,309.0
36.0,2931.0
37.0,3095.0
38.0,3369.0
39.0,3790.0
40.0,573.0
41.0,1891.0
42.0,888.0
43.0,2310.0
44.0,2333.0
45.0,2485.0
46.0,2818.0
47.0,1574.0
48.0,1107.0
49.0,5280.0
50.0,4861.0
51.0,1917.0
52.0,3115.0
53.0,2553.0
54.0,1912.0
55.0,3295.0
56.0,1688.0
57.0,3624.0
58.0,2605.0
59.0,3073.0
60.0,3088.0
61.0,1958.0
62.0,2253.0
63.0,1971.0
64.0,2378.0
65.0,2506.0
66.0,1229.0
67.0,3346.0
68.0,3603.0
69.0,1366.0
70.0,4754.0
71.0,4167.0
72.0,2195.0
73.0,2311.0
74.0,3585.0
75.0,2565.0
76.0,2224.0
78.0,1789.0
79.0,3071.0
80.0,2888.0
81.0,2327.0
82.0,3623.0
83.0,2716.0
84.0,1533.0
85.0,2077.0
86.0,4655.0
87.0,3025.0
88.0,2439.0
89.0,1377.0
90.0,2318.0
91.0,2431.0
92.0,2371.0
93.0,4217.0
94.0,639.0
95.0,4191.0
96.0,3184.0
97.0,3112.0
98.0,3665.0
99.0,2472.0
100.0,1960.0
101.0,809.0
102.0,1947.0
103.0,2938.0
104.0,1798.0
105.0,2608.0
106.0,343.0
107.0,2490.0
108.0,3863.0
109.0,2752.0
110.0,3679.0
111.0,3327.0
112.0,3373.0
113.0,2894.0
114.0,4199.0
115.0,1907.0
116.0,3340.0
117.0,2088.0
118.0,2704.0
119.0,2859.0
120.0,2787.0
121.0,1281.0
122.0,1901.0
123.0,2049.0
124.0,3376.0
125.0,2912.0
126.0,5281.0
127.0,2916.0
128.0,2567.0
129.0,3042.0
130.0,2351.0
131.0,1261.0
132.0,2192.0
