county_FIPS,county_Name,state
001,Anderson,48
003,Andrews,48
005,Angelina,48
007,Aransas,48
009,Archer,48
011,Armstrong,48
013,Atascosa,48
015,Austin,48
017,Bailey,48
019,Bandera,48
021,Bastrop,48
023,Baylor,48
025,Bee,48
027,Bell,48
029,Bexar,48
031,Blanco,48
033,Borden,48
035,Bosque,48
037,Bowie,48
039,Brazoria,48
041,Brazos,48
043,Brewster,48
045,Briscoe,48
047,Brooks,48
049,Brown,48
051,Burleson,48
053,Burnet,48
055,Caldwell,48
057,Calhoun,48
059,Callahan,48
061,Cameron,48
063,Camp,48
065,Carson,48
067,Cass,48
069,Castro,48
071,Chambers,48
073,Cherokee,48
075,Childress,48
077,Clay,48
079,Cochran,48
081,Coke,48
083,Coleman,48
085,Collin,48
087,Collingsworth,48
089,Colorado,48
091,Comal,48
093,Comanche,48
095,Concho,48
097,Cooke,48
099,Coryell,48
101,Cottle,48
103,Crane,48
105,Crockett,48
107,Crosby,48
109,Culberson,48
111,Dallam,48
113,Dallas,48
115,Dawson,48
117,Deaf Smith,48
119,Delta,48
121,Denton,48
123,De Witt,48
125,Dickens,48
127,Dimmit,48
129,Donley,48
131,Duval,48
133,Eastland,48
135,Ector,48
137,Edwards,48
139,Ellis,48
141,El Paso,48
143,Erath,48
145,Falls,48
147,Fannin,48
149,Fayette,48
151,Fisher,48
153,Floyd,48
155,Foard,48
157,Fort Bend,48
159,Franklin,48
161,Freestone,48
163,Frio,48
165,Gaines,48
167,Galveston,48
169,Garza,48
171,Gillespie,48
173,Glasscock,48
175,Goliad,48
177,Gonzales,48
179,Gray,48
181,Grayson,48
183,Gregg,48
185,Grimes,48
187,Guadalupe,48
189,Hale,48
191,Hall,48
193,Hamilton,48
195,Hansford,48
197,Hardeman,48
199,Hardin,48
201,Harris,48
203,Harrison,48
205,Hartley,48
207,Haskell,48
209,Hays,48
211,Hemphill,48
213,Henderson,48
215,Hidalgo,48
217,Hill,48
219,Hockley,48
221,Hood,48
223,Hopkins,48
225,Houston,48
227,Howard,48
229,Hudspeth,48
231,Hunt,48
233,Hutchinson,48
235,Irion,48
237,Jack,48
239,Jackson,48
241,Jasper,48
243,Jeff Davis,48
245,Jefferson,48
247,Jim Hogg,48
249,Jim Wells,48
251,Johnson,48
253,Jones,48
255,Karnes,48
257,Kaufman,48
259,Kendall,48
261,Kenedy,48
263,Kent,48
265,Kerr,48
267,Kimble,48
269,King,48
271,Kinney,48
273,Kleberg,48
275,Knox,48
277,Lamar,48
279,Lamb,48
281,Lampasas,48
283,La Salle,48
285,Lavaca,48
287,Lee,48
289,Leon,48
291,Liberty,48
293,Limestone,48
295,Lipscomb,48
297,Live Oak,48
299,Llano,48
301,Loving,48
303,Lubbock,48
305,Lynn,48
307,McCulloch,48
309,McLennan,48
311,McMullen,48
313,Madison,48
315,Marion,48
317,Martin,48
319,Mason,48
321,Matagorda,48
323,Maverick,48
325,Medina,48
327,Menard,48
329,Midland,48
331,Milam,48
333,Mills,48
335,Mitchell,48
337,Montague,48
339,Montgomery,48
341,Moore,48
343,Morris,48
345,Motley,48
347,Nacogdoches,48
349,Navarro,48
351,Newton,48
353,Nolan,48
355,Nueces,48
357,Ochiltree,48
359,Oldham,48
361,Orange,48
363,Palo Pinto,48
365,Panola,48
367,Parker,48
369,Parmer,48
371,Pecos,48
373,Polk,48
375,Potter,48
377,Presidio,48
379,Rains,48
381,Randall,48
383,Reagan,48
385,Real,48
387,Red River,48
389,Reeves,48
391,Refugio,48
393,Roberts,48
395,Robertson,48
397,Rockwall,48
399,Runnels,48
401,Rusk,48
403,Sabine,48
405,San Augustine,48
407,San Jacinto,48
409,San Patricio,48
411,San Saba,48
413,Schleicher,48
415,Scurry,48
417,Shackelford,48
419,Shelby,48
421,Sherman,48
423,Smith,48
425,Somervell,48
427,Starr,48
429,Stephens,48
431,Sterling,48
433,Stonewall,48
435,Sutton,48
437,Swisher,48
439,Tarrant,48
441,Taylor,48
443,Terrell,48
445,Terry,48
447,Throckmorton,48
449,Titus,48
451,Tom Green,48
453,Travis,48
455,Trinity,48
457,Tyler,48
459,Upshur,48
461,Upton,48
463,Uvalde,48
465,Val Verde,48
467,Van Zandt,48
469,Victoria,48
471,Walker,48
473,Waller,48
475,Ward,48
477,Washington,48
479,Webb,48
481,Wharton,48
483,Wheeler,48
485,Wichita,48
487,Wilbarger,48
489,Willacy,48
491,Williamson,48
493,Wilson,48
495,Winkler,48
497,Wise,48
499,Wood,48
501,Yoakum,48
503,Young,48
505,Zapata,48
507,Zavala,48
