"id","state","site","treat","treat_string","vf_age","vf_female","vf_latino","vf_voted16","vf_voted14","vf_voted12","t1_factor_prej","t1_factor_policy","t1_factor_overall"
210030,"TN","TN",2,"Deep Canvass",29,1,0,1,0,0,0.9739591,0.6479872,0.7994102
217650,"TN","TN",2,"Deep Canvass",18,1,0,0,0,0,NA,NA,NA
70965,"CA","ORANGE",2,"Deep Canvass",52,0,0,1,1,1,NA,NA,NA
52671,"CA","ORANGE",2,"Deep Canvass",83,0,0,1,1,1,NA,NA,NA
210197,"TN","TN",2,"Deep Canvass",31,0,0,1,0,0,NA,NA,NA
135933,"TN","TN",2,"Deep Canvass",57,1,0,1,1,1,NA,NA,NA
5326,"CA","ORANGE",2,"Deep Canvass",80,1,0,1,1,1,NA,NA,NA
217494,"TN","TN",2,"Deep Canvass",74,1,0,1,1,1,NA,NA,NA
215257,"TN","TN",2,"Deep Canvass",31,1,0,1,0,0,NA,NA,NA
80029,"CA","FRESNO",2,"Deep Canvass",24,1,0,0,0,0,NA,NA,NA
178558,"TN","TN",2,"Deep Canvass",47,1,0,1,1,1,0.9890879,1.055446,1.061774
143665,"TN","TN",2,"Deep Canvass",43,0,0,1,1,1,NA,NA,NA
210286,"TN","TN",2,"Deep Canvass",31,1,0,1,0,0,-0.1841111,0.4126515,0.1039327
7136,"CA","ORANGE",2,"Deep Canvass",69,0,0,1,1,1,NA,NA,NA
7088,"CA","FRESNO",2,"Deep Canvass",29,1,0,0,0,0,1.15417,1.153939,1.19532
141543,"TN","TN",2,"Deep Canvass",59,0,0,1,0,1,NA,NA,NA
162546,"TN","TN",2,"Deep Canvass",61,1,0,1,1,1,NA,NA,NA
9503,"CA","FRESNO",2,"Deep Canvass",21,1,0,1,0,0,NA,NA,NA
129548,"TN","TN",2,"Deep Canvass",61,0,0,1,0,0,NA,NA,NA
72969,"CA","ORANGE",2,"Deep Canvass",69,1,0,1,1,1,1.049981,1.187495,1.156092
209988,"TN","TN",2,"Deep Canvass",28,0,0,1,0,0,NA,NA,NA
69640,"CA","FRESNO",2,"Deep Canvass",31,1,0,1,0,1,NA,NA,NA
91867,"CA","FRESNO",2,"Deep Canvass",44,1,0,1,1,1,NA,NA,NA
25690,"CA","FRESNO",2,"Deep Canvass",29,1,0,0,0,0,NA,NA,NA
187263,"TN","TN",2,"Deep Canvass",23,1,0,1,1,0,NA,NA,NA
13171,"CA","FRESNO",2,"Deep Canvass",54,1,0,1,1,1,NA,NA,NA
127123,"CA","FRESNO",2,"Deep Canvass",23,0,0,0,0,0,NA,NA,NA
85090,"CA","FRESNO",2,"Deep Canvass",33,1,1,1,0,0,NA,NA,NA
210608,"TN","TN",2,"Deep Canvass",35,1,0,1,0,0,-0.6619062,-1.066646,-0.9180091
210644,"TN","TN",2,"Deep Canvass",43,0,0,1,0,0,NA,NA,NA
217058,"TN","TN",2,"Deep Canvass",30,1,0,0,0,0,NA,NA,NA
212521,"TN","TN",2,"Deep Canvass",47,0,0,0,0,0,NA,NA,NA
184868,"TN","TN",2,"Deep Canvass",27,1,0,1,0,1,NA,NA,NA
30029,"CA","ORANGE",2,"Deep Canvass",75,0,0,1,1,1,NA,NA,NA
148904,"TN","TN",2,"Deep Canvass",65,1,0,1,1,1,NA,NA,NA
179650,"TN","TN",2,"Deep Canvass",39,0,0,1,0,1,NA,NA,NA
186235,"TN","TN",2,"Deep Canvass",66,1,0,1,1,1,NA,NA,NA
